Datetime,Target
1689727020,521917
1689727080,564242
1689727140,448881
1689727200,448070
1689727260,508163
1689727320,550726
1689727380,458757
1689727440,486037
1689727500,455799
1689727560,623126
1689727620,465632
1689727680,498821
1689727740,1276809
1689727800,555373
1689727860,440316
1689727920,519298
1689727980,982366
1689728040,373327
1689728100,387162
1689728160,508573
